title,price,location,date,link,image_url
Centre table and steel almirah,"{'value': {'raw': 6000.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 6,000'}, 'key_name': 'Price', 'key': 'price'}",N/A,2025-06-02T01:14:32+05:30,N/A,N/A
LG mini refrigerator one month old,"{'value': {'raw': 6999.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 6,999'}, 'key_name': 'Price', 'key': 'price'}",N/A,2025-06-02T01:14:23+05:30,N/A,N/A
Symphony Air cooler,"{'value': {'raw': 4500.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 4,500'}, 'key_name': 'Price', 'key': 'price'}",N/A,2025-06-02T01:14:20+05:30,N/A,N/A
Adistar racer size uk7,"{'value': {'raw': 4000.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 4,000'}, 'key_name': 'Price', 'key': 'price'}",N/A,2025-06-02T01:07:48+05:30,N/A,N/A
Model   Z40.  4G,"{'value': {'raw': 1850.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 1,850'}, 'key_name': 'Price', 'key': 'price'}",N/A,2025-06-02T01:14:14+05:30,N/A,N/A
1rk on sale,"{'value': {'raw': 2000000.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 20,00,000'}, 'key_name': 'Price', 'key': 'price'}",N/A,2025-05-25T01:11:09+05:30,N/A,N/A
Flat on sale,"{'value': {'raw': 4800000.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 48,00,000'}, 'key_name': 'Price', 'key': 'price'}",N/A,2025-05-25T01:09:33+05:30,N/A,N/A
Shop on sale,"{'value': {'raw': 8500000.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 85,00,000'}, 'key_name': 'Price', 'key': 'price'}",N/A,2025-05-25T01:03:09+05:30,N/A,N/A
2bhk on rent,"{'value': {'raw': 15000.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 15,000'}, 'key_name': 'Price', 'key': 'price'}",N/A,2025-05-25T01:01:10+05:30,N/A,N/A
APPLE MACBOOK PRO 1990 I7 CPU 16 GB RAM 256 GB SSD 4 GB DDR5 GRAPHIC,"{'value': {'raw': 35000.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 35,000'}, 'key_name': 'Price', 'key': 'price'}",N/A,2025-05-17T01:04:29+05:30,N/A,N/A
Low budget laptop and desktop & mobile,"{'value': {'raw': 5994.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 5,994'}, 'key_name': 'Price', 'key': 'price'}",N/A,2025-05-25T01:10:24+05:30,N/A,N/A
"Hotel, bakery and kitchen equipment used hotel item for factory  rate","{'value': {'raw': 18000.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 18,000'}, 'key_name': 'Price', 'key': 'price'}",N/A,2025-05-09T01:11:01+05:30,N/A,N/A
Audio Video Recording Booth for INSTA/YOUTUBE/MUSIC/VOICE-HOME-STUDIO,"{'value': {'raw': 60000.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 60,000'}, 'key_name': 'Price', 'key': 'price'}",N/A,2025-06-02T01:13:58+05:30,N/A,N/A
Hotel kitchen Equipments and bakery items for sale,"{'value': {'raw': 1235.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 1,235'}, 'key_name': 'Price', 'key': 'price'}",N/A,2025-05-09T01:14:48+05:30,N/A,N/A
Fully Furnished luxury flat,"{'value': {'raw': 20000.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 20,000'}, 'key_name': 'Price', 'key': 'price'}",N/A,2025-05-09T01:00:24+05:30,N/A,N/A
Drone/Helicam for Rent,N/A,N/A,2025-06-02T01:07:15+05:30,N/A,N/A
"Hyundai Santro Xing GLS, 2011, Petrol","{'value': {'raw': 250000.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 2,50,000'}, 'key_name': 'Price', 'key': 'price'}",N/A,2025-05-03T01:02:34+05:30,N/A,N/A
Luxury office space available for rent,"{'value': {'raw': 55999.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 55,999'}, 'key_name': 'Price', 'key': 'price'}",N/A,2025-06-02T01:13:46+05:30,N/A,N/A
Honda Brio 2012 Petrol Well Maintained,"{'value': {'raw': 170000.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 1,70,000'}, 'key_name': 'Price', 'key': 'price'}",N/A,2025-06-02T01:13:54+05:30,N/A,N/A
Samsung galaxy S24 with all accessories EMI available,"{'value': {'raw': 23000.0, 'currency': {'iso_4217': 'INR', 'pre': '₹'}, 'display': '₹ 23,000'}, 'key_name': 'Price', 'key': 'price'}",N/A,2025-06-02T01:13:47+05:30,N/A,N/A
